"# City of Buffalo Finance Decoder data. Raw inputs in $ thousands, Total Primary Government, from audited ACFRs FY2006-2025."
"# Government transfers EXCLUDES intergovernmental (county sales tax), treated as local. Interest = governmental + enterprise. Enterprise interest FY2006-08 & FY2020 approximate."
year,cash_and_other_assets,capital_assets_net,total_assets,deferred_outflows,total_liabilities,deferred_inflows,net_position,accumulated_depreciation,total_revenue,operating_grants,capital_grants,state_aid,unrestricted_grants,intergovernmental_salestax_EXCLUDED,governmental_interest,enterprise_interest,net_financial_position_$M,net_debt_to_revenue,financial_assets_to_liabilities,total_assets_to_liabilities,net_book_value_to_cost_pct,interest_to_revenue_pct,govt_transfers_to_revenue_pct
2006,514463,517012,1031475,0,833642,0,197833,288491,497057,8110,25176,139591,460,63687,26371,7800,-319.2,0.642,0.617,1.237,64.18,6.87,34.87
2007,623711,538986,1162697,0,904692,0,258005,308839,569160,45122,20785,132968,399,111652,24251,7400,-281.0,0.494,0.689,1.285,63.57,5.56,35.01
2008,645835,551154,1196989,0,920046,0,276943,328946,548391,12277,18562,158356,412,101242,19659,7029,-274.2,0.5,0.702,1.301,62.62,4.87,34.58
2009,721100,565163,1286263,0,1025092,0,261171,352359,560906,8334,22555,173583,407,104570,18995,7228,-304.0,0.542,0.703,1.255,61.6,4.68,36.53
2010,757784,581447,1339231,0,1095336,0,243895,381416,559200,13059,34053,174479,382,92742,18179,7050,-337.6,0.604,0.692,1.223,60.39,4.51,39.69
2011,778040,582880,1360920,0,1195862,0,165058,409474,538993,12910,17753,164788,243,95344,16458,8016,-417.8,0.775,0.651,1.138,58.74,4.54,36.31
2012,798934,601852,1400786,0,1272732,0,128054,435454,539544,10608,19077,164596,290,93982,14337,7155,-473.8,0.878,0.628,1.101,58.02,3.98,36.06
2013,788215,612260,1400475,12871,1292203,380,120763,466006,616517,23053,16633,198322,197,93004,16615,7603,-491.5,0.797,0.62,1.084,56.78,3.93,38.64
2014,728743,630776,1359519,8884,1308629,207,59567,498339,580229,38272,18582,179423,252,95447,11385,7130,-571.2,0.984,0.564,1.039,55.86,3.19,40.76
2015,674033,662136,1336169,28596,1307527,110,57128,535580,616438,40789,32998,167725,283,98149,9551,6720,-605.0,0.981,0.537,1.022,55.28,2.64,39.22
2016,687586,683318,1370904,148449,1483381,20806,15166,570964,581532,32188,23821,168311,344,97471,10166,6132,-668.2,1.149,0.556,0.924,54.48,2.8,38.63
2017,582923,707700,1290623,90652,1437614,16949,-73288,612759,581640,32256,26085,164724,285,95998,8504,6204,-781.0,1.343,0.463,0.898,53.59,2.53,38.4
2018,497504,701934,1199438,115649,1979131,286626,-950670,652464,575171,33737,22270,161528,0,106609,7808,5963,-1652.6,2.873,0.271,0.606,51.83,2.39,37.82
2019,521165,723234,1244399,66453,1899452,259547,-848146,690509,596855,23474,18107,168785,0,108175,6779,5345,-1571.4,2.633,0.272,0.655,51.16,2.03,35.25
2020,565117,731519,1296636,231711,2227222,173493,-872369,728248,570852,27973,20283,132613,0,107867,5342,5198,-1603.9,2.81,0.332,0.582,50.11,1.85,31.68
2021,704437,743833,1448270,381722,2288502,355776,-814285,773471,651737,35183,23265,172102,0,155617,7342,5052,-1558.1,2.391,0.411,0.633,49.02,1.9,35.37
2022,989284,775865,1765149,295079,2397813,386583,-724168,820257,687351,50558,44754,160945,0,148107,3826,4743,-1500.0,2.182,0.461,0.736,48.61,1.25,37.28
2023,954521,802575,1757096,264721,2489896,260984,-729064,866175,752660,114592,41675,161550,0,124741,4156,4735,-1531.6,2.035,0.443,0.706,48.09,1.18,42.23
2024,1021536,885075,1906611,231783,2521430,288120,-671156,910672,811597,117111,84421,161020,0,124279,3892,5619,-1556.2,1.917,0.446,0.756,49.29,1.17,44.67
2025,835475,973602,1809077,235933,2465786,169097,-589873,957664,834463,133121,54743,166285,0,127839,5081,5390,-1563.5,1.874,0.407,0.734,50.41,1.25,42.44
